comune,scalo,distanza_km,correlazione,n_mesi_validi,peso_distanza,peso_correlazione,punteggio,probabilita
Aggius,Aeroporto_Cagliari,190.8,0.607,10,0.02201568775437644,0.607,0.013363522466906499,0.008186210903339064
Aggius,Aeroporto_Olbia,42.1,0.787,10,0.430847965227942,0.787,0.3390773486343904,0.20771160413282141
Aggius,Aeroporto_Alghero,72.6,0.63,10,0.2341016163455822,0.63,0.1474840182977168,0.09034558677525922
Aggius,Porto_Cagliari,193.9,0.926,10,0.020692168161274557,0.926,0.01916094771734024,0.011737590856784835
Aggius,Porto_Olbia,38.3,0.867,10,0.4648688296327683,0.867,0.40304127529161016,0.24689455122767712
Aggius,Porto_Porto Torres,59.4,0.894,10,0.30483031544319683,0.894,0.27251830200621796,0.16693894149295918
Aggius,Porto_Golfo Aranci,45.9,0.89,10,0.3993168767363899,0.89,0.355392020295387,0.21770562654468062
Aggius,Porto_Arbatax,127.6,0.952,10,0.077925658728426,0.952,0.07418522710946154,0.04544429932557601
Aggius,Porto_Porto Vesme,205.4,,10,0.016440622912782255,0.5,0.008220311456391127,0.0050355887409025074
Alà dei Sardi,Aeroporto_Cagliari,160.6,,5,0.04027598070493171,0.5,0.020137990352465857,0.018337825648506723
Alà dei Sardi,Aeroporto_Olbia,27.3,,5,0.579262231380782,0.5,0.289631115690391,0.26374056243713134
Alà dei Sardi,Aeroporto_Alghero,89.1,,5,0.1683012080256144,0.5,0.0841506040128072,0.07662825721904441
Alà dei Sardi,Porto_Cagliari,163.1,,5,0.03831169794715405,0.5,0.019155848973577024,0.01744347933822348
Alà dei Sardi,Porto_Olbia,29.5,,5,0.5543272847345071,0.5,0.27716364236725355,0.25238757497038006
Alà dei Sardi,Porto_Porto Torres,90.7,,5,0.16300082774468777,0.5,0.08150041387234389,0.07421497148990228
Alà dei Sardi,Porto_Golfo Aranci,39.4,,5,0.4547533931679402,0.5,0.2273766965839701,0.207051157812264
Alà dei Sardi,Porto_Arbatax,87.6,,5,0.17342674287984838,0.5,0.08671337143992419,0.07896193508032064
Alà dei Sardi,Porto_Porto Vesme,185.1,,5,0.02467412883150343,0.5,0.012337064415751714,0.011234236004227172
Alghero,Aeroporto_Cagliari,163.2,0.881,12,0.03823515112359891,0.881,0.03368516813989064,0.019577003384378896
Alghero,Aeroporto_Olbia,107.4,0.97,12,0.11671735921274938,0.97,0.1132158384363669,0.06579830158571519
Alghero,Aeroporto_Alghero,3.5,0.898,12,0.9323938199059483,0.898,0.8372896502755416,0.48661245356048605
Alghero,Porto_Cagliari,167.1,0.913,12,0.03536615463284522,0.913,0.032289299179787685,0.018765758172759366
Alghero,Porto_Olbia,105.8,0.939,12,0.12051271656014938,0.939,0.11316144084998025,0.06576668702679801
Alghero,Porto_Porto Torres,37.8,0.955,12,0.4695408390427993,0.955,0.4484115012858733,0.2606058975811442
Alghero,Porto_Golfo Aranci,115.6,0.931,12,0.09906292744674731,0.931,0.09222758545292176,0.05360043758863674
Alghero,Porto_Arbatax,139.8,0.825,12,0.06105379000550965,0.825,0.05036937675454546,0.029273461100081465
Alghero,Porto_Porto Vesme,157.0,-0.279,12,0.043282797901965896,0.0,0.0,0.0
Anela,Aeroporto_Cagliari,133.6,,0,0.06911385927088778,0.5,0.03455692963544389,0.04236995018641094
Anela,Aeroporto_Olbia,63.1,,0,0.2830872853768075,0.5,0.14154364268840375,0.17354542643625637
Anela,Aeroporto_Alghero,65.9,,0,0.26767010719674456,0.5,0.13383505359837228,0.16409399255026816
