comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Benetutti,2025,8,9351.0,202.0,12.68,0,True
Benetutti,2025,9,9351.0,202.0,12.68,0,True
Benetutti,2025,10,9351.0,202.0,12.68,0,True
Benetutti,2025,11,9351.0,202.0,12.68,0,True
Benetutti,2025,12,9351.0,202.0,12.68,0,True
Berchidda,2025,1,5155.0,524.0,2.7,0,True
Berchidda,2025,2,5155.0,524.0,2.7,0,True
Berchidda,2025,3,5155.0,524.0,2.7,0,True
Berchidda,2025,4,5155.0,524.0,2.7,0,True
Berchidda,2025,5,5155.0,524.0,2.7,0,True
Berchidda,2025,6,5155.0,524.0,2.7,0,True
Berchidda,2025,7,5155.0,524.0,2.7,0,True
Berchidda,2025,8,5155.0,524.0,2.7,0,True
Berchidda,2025,9,5155.0,524.0,2.7,0,True
Berchidda,2025,10,5155.0,524.0,2.7,0,True
Berchidda,2025,11,5155.0,524.0,2.7,0,True
Berchidda,2025,12,5155.0,524.0,2.7,0,True
Bessude,2025,1,178.0,28.0,1.74,0,True
Bessude,2025,2,178.0,28.0,1.74,0,True
Bessude,2025,3,178.0,28.0,1.74,0,True
Bessude,2025,4,178.0,28.0,1.74,0,True
Bessude,2025,5,178.0,28.0,1.74,0,True
Bessude,2025,6,178.0,28.0,1.74,0,True
Bessude,2025,7,178.0,28.0,1.74,0,True
Bessude,2025,8,178.0,28.0,1.74,0,True
Bessude,2025,9,178.0,28.0,1.74,0,True
Bessude,2025,10,178.0,28.0,1.74,0,True
Bessude,2025,11,178.0,28.0,1.74,0,True
Bessude,2025,12,178.0,28.0,1.74,0,True
Bitti,2025,1,5069.0,149.0,9.32,0,True
Bitti,2025,2,5069.0,149.0,9.32,0,True
Bitti,2025,3,5069.0,149.0,9.32,0,True
Bitti,2025,4,5069.0,149.0,9.32,0,True
Bitti,2025,5,5069.0,149.0,9.32,0,True
Bitti,2025,6,5069.0,149.0,9.32,0,True
Bitti,2025,7,5069.0,149.0,9.32,0,True
Bitti,2025,8,5069.0,149.0,9.32,0,True
Bitti,2025,9,5069.0,149.0,9.32,0,True
Bitti,2025,10,5069.0,149.0,9.32,0,True
Bitti,2025,11,5069.0,149.0,9.32,0,True
Bitti,2025,12,5069.0,149.0,9.32,0,True
Bolotana,2025,1,2452.0,129.0,5.21,0,True
Bolotana,2025,2,2452.0,129.0,5.21,0,True
Bolotana,2025,3,2452.0,129.0,5.21,0,True
Bolotana,2025,4,2452.0,129.0,5.21,0,True
Bolotana,2025,5,2452.0,129.0,5.21,0,True
Bolotana,2025,6,2452.0,129.0,5.21,0,True
Bolotana,2025,7,2452.0,129.0,5.21,0,True
Bolotana,2025,8,2452.0,129.0,5.21,0,True
Bolotana,2025,9,2452.0,129.0,5.21,0,True
Bolotana,2025,10,2452.0,129.0,5.21,0,True
Bolotana,2025,11,2452.0,129.0,5.21,0,True
Bolotana,2025,12,2452.0,129.0,5.21,0,True
Bonarcado,2025,1,4421.0,97.0,12.49,0,True
Bonarcado,2025,2,4421.0,97.0,12.49,0,True
