,comune,anno,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
249,Serrenti,2022,0.0,21.0,0.0,0,True
250,Serri,2022,0.0,37.0,0.0,0,True
251,Sestu,2022,4405.0,103.0,11.72,0,True
252,Settimo San Pietro,2022,362.0,42.0,2.36,0,True
253,Seui,2022,0.0,10.0,0.0,0,True
254,Seulo,2022,0.0,50.0,0.0,0,True
255,Siamaggiore,2022,2100.0,57.0,10.09,0,True
256,Siamanna,2022,0.0,20.0,0.0,0,True
257,Siapiccia,2022,0.0,10.0,0.0,0,True
258,Siddi,2022,0.0,6.0,0.0,0,True
259,Silanus,2022,0.0,18.0,0.0,0,True
260,Siliqua,2022,0.0,28.0,0.0,0,True
261,Simaxis,2022,728.98,48.0,4.16,0,True
262,Sindia,2022,0.0,29.0,0.0,0,True
263,Sini,2022,0.0,21.0,0.0,0,True
264,Siniscola,2022,165565.0,3759.0,12.07,0,True
265,Sinnai,2022,26443.0,1128.0,6.42,0,True
266,Siurgus Donigala,2022,0.0,20.0,0.0,0,True
267,Solarussa,2022,896.0,42.0,5.84,0,True
268,Soleminis,2022,0.0,10.0,0.0,0,True
269,Sorgono,2022,927.0,90.0,2.82,0,True
270,Sorradile,2022,0.0,6.0,0.0,0,True
271,Sorso,2022,130608.0,4386.0,8.16,0,True
272,Stintino,2022,319478.0,6707.0,13.05,0,True
273,Suelli,2022,0.0,21.0,0.0,0,True
274,Suni,2022,797.99,74.0,2.95,0,True
275,Talana,2022,0.0,36.0,0.0,0,True
276,Telti,2022,2017.01,136.0,4.06,0,True
277,Tempio Pausania,2022,25479.0,718.0,9.72,0,True
278,Tergu,2022,3558.01,225.0,4.33,0,True
279,Terralba,2022,2313.0,102.0,6.21,0,True
280,Tertenia,2022,28988.0,836.0,9.5,0,True
281,Teti,2022,0.0,56.0,0.0,0,True
282,Teulada,2022,36614.0,1030.0,9.74,0,True
283,Thiesi,2022,2770.0,52.0,14.59,0,True
284,Tissi,2022,0.0,6.0,0.0,0,True
285,Tonara,2022,1165.0,316.0,1.01,0,True
286,Torpè,2022,2107.0,226.0,2.55,0,True
287,Torralba,2022,0.0,2.0,0.0,0,True
288,Tortolì,2022,641417.0,7546.0,23.29,0,True
289,Tramatza,2022,2542.0,60.0,11.61,0,True
290,Tratalias,2022,3212.0,82.0,10.73,0,True
291,Tresnuraghes,2022,18981.0,519.0,10.02,0,True
292,Triei,2022,1926.02,76.0,6.94,0,True
293,Trinità D'Agultu E Vignola,2022,143176.0,4536.0,8.65,0,True
294,Tuili,2022,220.0,26.0,2.32,0,True
295,Tula,2022,0.0,62.0,0.0,0,True
296,Turri,2022,0.0,16.0,0.0,0,True
297,Ulassai,2022,7441.0,171.0,11.92,0,True
298,Ulà Tirso,2022,0.0,10.0,0.0,0,True
299,Uras,2022,1119.0,38.0,8.07,0,True
300,Uri,2022,1552.0,48.0,8.86,0,True
301,Urzulei,2022,3483.01,141.0,6.77,0,True
302,Usini,2022,0.0,12.0,0.0,0,True
303,Ussana,2022,0.0,13.0,0.0,0,True
304,Ussassai,2022,456.01,26.0,4.81,0,True
305,Uta,2022,2098.01,80.0,7.18,0,True
306,Valledoria,2022,202805.0,4160.0,13.36,0,True
307,Vallermosa,2022,821.0,34.0,6.62,0,True
308,Viddalba,2022,3479.01,199.0,4.79,0,True
309,Villa San Pietro,2022,3924.0,170.0,6.32,0,True
310,Villa Sant'Antonio,2022,0.0,10.0,0.0,0,True
311,Villacidro,2022,2047.0,127.0,4.42,0,True
312,Villagrande Strisaili,2022,3529.0,133.0,7.27,0,True
313,Villamar,2022,0.0,12.0,0.0,0,True
314,Villamassargia,2022,1493.0,70.0,5.84,0,True
315,Villanova Monteleone,2022,1654.99,97.0,4.67,0,True
316,Villanova Truschedu,2022,0.0,2.0,0.0,0,True
317,Villanova Tulo,2022,0.0,3.0,0.0,0,True
318,Villanovaforru,2022,0.0,83.0,0.0,0,True
319,Villanovafranca,2022,607.98,16.0,10.41,0,True
320,Villaperuccio,2022,0.0,20.0,0.0,0,True
321,Villaputzu,2022,30048.0,1749.0,4.71,0,True
322,Villasalto,2022,0.0,4.0,0.0,0,True
323,Villasimius,2022,753266.0,11887.0,17.36,0,True
324,Villasor,2022,0.0,10.0,0.0,0,True
325,Villaspeciosa,2022,0.0,4.0,0.0,0,True
326,Villaurbana,2022,0.0,34.0,0.0,0,True
327,Zeddiani,2022,0.0,8.0,0.0,0,True
328,Zerfaliu,2022,0.0,23.0,0.0,0,True
329,Abbasanta,2023,1371.0,59.0,6.37,0,True
330,Aggius,2023,833.0,133.0,1.72,0,True
331,Aglientu,2023,240545.0,5642.0,11.68,0,True
332,Aidomaggiore,2023,0.0,8.0,0.0,0,True
333,Ales,2023,757.99,47.0,4.42,0,True
334,Alghero,2023,1373563.0,23392.0,16.09,0,True
335,Allai,2023,0.0,26.0,0.0,0,True
336,Alà Dei Sardi,2023,242.99,21.0,3.17,0,True
337,Anela,2023,0.0,6.0,0.0,0,True
338,Arborea,2023,126949.0,1883.0,18.47,0,True
339,Arbus,2023,54714.0,1507.0,9.95,0,True
340,Ardara,2023,0.0,4.0,0.0,0,True
341,Ardauli,2023,0.0,4.0,0.0,0,True
342,Aritzo,2023,3661.02,257.0,3.9,0,True
343,Armungia,2023,14.01,21.0,0.18,0,True
344,Arzachena,2023,1116513.0,20271.0,15.09,0,True
345,Arzana,2023,98.0,13.0,2.07,0,True
346,Assemini,2023,25115.0,592.0,11.62,0,True
347,Assolo,2023,0.0,18.0,0.0,0,True
348,Atzara,2023,427.0,30.0,3.9,0,True
349,Austis,2023,379.01,68.0,1.53,0,True
350,Badesi,2023,293077.0,5601.0,14.34,0,True
351,Ballao,2023,308.0,8.0,10.55,0,True
352,Banari,2023,230.01,11.0,5.73,0,True
353,Baradili,2023,40.010000000000005,24.0,0.46,0,True
354,Baratili San Pietro,2023,1729.0,94.0,5.04,0,True
355,Baressa,2023,1079.0,27.0,10.95,0,True
356,Bari Sardo,2023,193817.0,2942.0,18.05,0,True
357,Barumini,2023,2365.0,48.0,13.5,0,True
358,Bauladu,2023,863.01,28.0,8.44,0,True
359,Baunei,2023,82111.0,1780.0,12.64,0,True
360,Belvì,2023,194.0,46.0,1.16,0,True
361,Benetutti,2023,6650.02,196.0,9.3,0,True
362,Berchidda,2023,3114.0,454.0,1.88,0,True
363,Bessude,2023,19.01,26.0,0.2,0,True
364,Bitti,2023,2648.0,106.0,6.84,0,True
365,Bolotana,2023,456.02,135.0,0.93,0,True
366,Bonarcado,2023,1178.01,75.0,4.3,0,True
367,Bonnanaro,2023,0.0,14.0,0.0,0,True
368,Bono,2023,206.99,56.0,1.01,0,True
369,Bonorva,2023,268.0,55.0,1.33,0,True
370,Borore,2023,0.0,4.0,0.0,0,True
371,Bortigali,2023,312.01,6.0,14.25,0,True
372,Bortigiadas,2023,927.02,42.0,6.05,0,True
373,Bosa,2023,105002.0,1986.0,14.49,0,True
374,Bottidda,2023,414.99,13.0,8.75,0,True
375,Buddusò,2023,0.0,139.0,0.0,0,True
376,Budoni,2023,669288.0,11336.0,16.18,0,True
377,Buggerru,2023,15883.0,436.0,9.98,0,True
378,Bultei,2023,0.0,31.0,0.0,0,True
379,Bulzi,2023,0.0,2.0,0.0,0,True
380,Burcei,2023,571.99,15.0,10.45,0,True
381,Burgos,2023,0.0,9.0,0.0,0,True
382,Busachi,2023,20.0,16.0,0.34,0,True
383,Cabras,2023,94856.0,2792.0,9.31,0,True
384,Cagliari,2023,864079.0,11038.0,21.45,0,True
385,Calangianus,2023,2523.99,99.0,6.98,0,True
386,Calasetta,2023,52300.0,2389.0,6.0,0,True
387,Capoterra,2023,59143.0,953.0,17.0,0,True
388,Carbonia,2023,33239.0,536.0,16.99,0,True
389,Cardedu,2023,127183.99,1610.0,21.64,1,True
390,Carloforte,2023,39822.0,1587.0,6.87,0,True
391,Castelsardo,2023,170680.0,4243.0,11.02,0,True
392,Castiadas,2023,244129.0,3707.0,18.04,0,True
393,Cheremule,2023,0.0,21.0,0.0,0,True
394,Chiaramonti,2023,302.0,26.0,3.18,0,True
395,Codrongianos,2023,184.01,21.0,2.4,0,True
396,Collinas,2023,183.01,11.0,4.56,0,True
397,Cossoine,2023,323.0,25.0,3.54,0,True
398,Cuglieri,2023,126274.0,2076.0,16.66,0,True
399,Decimomannu,2023,1668.0,74.0,6.18,0,True
400,Decimoputzu,2023,21.990000000000002,9.0,0.67,0,True
401,Desulo,2023,673.0,91.0,2.03,0,True
402,Dolianova,2023,595.02,150.0,1.09,0,True
403,Domus De Maria,2023,219011.0,3927.0,15.28,0,True
404,Domusnovas,2023,1150.01,108.0,2.92,0,True
405,Dorgali,2023,415830.0,6621.0,17.21,0,True
406,Elini,2023,201.99,18.0,3.07,0,True
407,Elmas,2023,12367.0,156.0,21.72,0,True
408,Erula,2023,0.0,5.0,0.0,0,True
409,Escalaplano,2023,104.01,17.0,1.68,0,True
410,Escolca,2023,304.01,9.0,9.25,0,True
411,Esterzili,2023,20.009999999999998,3.0,1.83,0,True
412,Florinas,2023,0.0,12.0,0.0,0,True
413,Fluminimaggiore,2023,3913.02,294.0,3.65,0,True
414,Flussio,2023,722.01,30.0,6.59,0,True
415,Fonni,2023,4462.0,261.0,4.68,0,True
416,Fordongianus,2023,43495.0,211.0,56.48,0,True
417,Furtei,2023,168.0,8.0,5.75,0,True
418,Gadoni,2023,554.99,27.0,5.63,0,True
419,Gairo,2023,17910.0,423.0,11.6,0,True
420,Galtellì,2023,12266.0,308.0,10.91,0,True
421,Gavoi,2023,1100.0,372.0,0.81,0,True
422,Genoni,2023,220.0,6.0,10.05,0,True
423,Genuri,2023,0.0,3.0,0.0,0,True
424,Gergei,2023,385.99,39.0,2.71,0,True
425,Gesturi,2023,499.99,19.0,7.21,0,True
426,Ghilarza,2023,1611.0,71.0,6.22,0,True
427,Giave,2023,0.0,7.0,0.0,0,True
428,Giba,2023,2313.0,153.0,4.14,0,True
429,Girasole,2023,5620.0,141.0,10.92,0,True
430,Golfo Aranci,2023,248572.0,5468.0,12.45,0,True
431,Gonnesa,2023,14812.0,393.0,10.33,0,True
432,Gonnosfanadiga,2023,945.0,46.0,5.63,0,True
433,Gonnosnò,2023,0.0,4.0,0.0,0,True
434,Gonnostramatza,2023,113.01,31.0,1.0,0,True
435,Guamaggiore,2023,0.0,7.0,0.0,0,True
436,Guasila,2023,0.0,12.0,0.0,0,True
437,Guspini,2023,9142.0,325.0,7.71,0,True
438,Iglesias,2023,51911.0,1443.0,9.86,0,True
439,Ilbono,2023,2932.0,135.0,5.95,0,True
440,Irgoli,2023,4265.99,222.0,5.26,0,True
441,Isili,2023,852.0,40.0,5.84,0,True
442,Ittireddu,2023,0.0,20.0,0.0,0,True
443,Ittiri,2023,306.01,53.0,1.58,0,True
444,Jerzu,2023,2909.0,110.0,7.25,0,True
445,La Maddalena,2023,220259.0,6361.0,9.49,0,True
446,Laconi,2023,1516.0,92.0,4.51,0,True
447,Lanusei,2023,4138.0,393.0,2.88,0,True
448,Las Plassas,2023,53.01,3.0,4.84,0,True
449,Loceri,2023,3477.0,124.0,7.68,0,True
450,Loculi,2023,836.0,59.0,3.88,0,True
451,Lodine,2023,23.99,12.0,0.55,0,True
452,Lodè,2023,167.99,46.0,1.0,0,True
453,Loiri Porto San Paolo,2023,126410.0,3764.0,9.2,0,True
454,Lotzorai,2023,75171.0,2356.0,8.74,0,True
455,Lula,2023,282.99,52.0,1.49,0,True
456,Lunamatrona,2023,71.0,263.0,0.07,0,True
457,Luogosanto,2023,7693.01,355.0,5.94,0,True
458,Luras,2023,266.01,73.0,1.0,0,True
459,Macomer,2023,8851.0,79.0,30.7,1,True
460,Magomadas,2023,10096.02,340.0,8.14,0,True
461,Mamoiada,2023,2284.0,175.0,3.58,0,True
462,Mandas,2023,1596.0,32.0,13.66,0,True
463,Mara,2023,335.01,6.0,15.3,0,True
464,Maracalagonis,2023,126941.0,2499.0,13.92,0,True
465,Marrubiu,2023,1330.0,125.0,2.92,0,True
466,Martis,2023,453.0,48.0,2.59,0,True
467,Masainas,2023,2273.01,77.0,8.09,0,True
468,Masullas,2023,0.0,5.0,0.0,0,True
469,Meana Sardo,2023,308.99,52.0,1.63,0,True
470,Milis,2023,1420.02,68.0,5.72,0,True
471,Modolo,2023,1248.0,82.0,4.17,0,True
472,Mogoro,2023,499.97,25.0,5.48,0,True
473,Monastir,2023,8112.0,78.0,28.49,0,True
474,Monserrato,2023,7675.0,226.0,9.3,0,True
475,Monteleone Rocca Doria,2023,0.0,11.0,0.0,0,True
476,Monti,2023,514.0,108.0,1.3,0,True
477,Mores,2023,2376.0,26.0,25.04,0,True
478,Morgongiori,2023,0.0,12.0,0.0,0,True
479,Muravera,2023,661689.0,9941.0,18.24,0,True
480,Muros,2023,0.0,2.0,0.0,0,True
481,Musei,2023,16.0,6.0,0.73,0,True
482,Narbolia,2023,98593.01,2076.0,13.01,0,True
483,Narcao,2023,760.99,60.0,3.47,0,True
484,Neoneli,2023,0.0,25.0,0.0,0,True
485,Norbello,2023,2584.0,204.0,3.47,0,True
486,Nughedu San Nicolò,2023,428.0,111.0,1.06,0,True
487,Nughedu Santa Vittoria,2023,136.0,4.0,9.32,0,True
488,Nulvi,2023,2083.0,179.0,3.19,0,True
489,Nuoro,2023,58938.0,815.0,19.81,0,True
490,Nurachi,2023,5630.0,245.0,6.3,0,True
491,Nuragus,2023,114.0,9.0,3.47,0,True
492,Nurallao,2023,626.99,23.0,7.47,0,True
493,Nuraminis,2023,3056.0,44.0,19.03,0,True
494,Nureci,2023,226.01,8.0,7.74,0,True
