,comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
267,Baradili,2022,4,0.0,24.0,0.0,0,True
268,Baradili,2022,5,0.0,24.0,0.0,0,True
269,Baradili,2022,6,0.0,24.0,0.0,0,True
270,Baradili,2022,7,0.0,24.0,0.0,0,True
271,Baradili,2022,8,0.0,24.0,0.0,0,True
272,Baradili,2022,9,0.0,24.0,0.0,0,True
273,Baradili,2022,10,0.0,24.0,0.0,0,True
274,Baradili,2022,11,0.0,24.0,0.0,0,True
275,Baradili,2022,12,0.0,24.0,0.0,0,True
276,Baratili San Pietro,2022,1,2346.0,92.0,6.99,0,True
277,Baratili San Pietro,2022,2,2346.0,92.0,6.99,0,True
278,Baratili San Pietro,2022,3,2346.0,92.0,6.99,0,True
279,Baratili San Pietro,2022,4,2346.0,92.0,6.99,0,True
280,Baratili San Pietro,2022,5,2346.0,92.0,6.99,0,True
281,Baratili San Pietro,2022,6,2346.0,92.0,6.99,0,True
282,Baratili San Pietro,2022,7,2346.0,92.0,6.99,0,True
283,Baratili San Pietro,2022,8,2346.0,92.0,6.99,0,True
284,Baratili San Pietro,2022,9,2346.0,92.0,6.99,0,True
285,Baratili San Pietro,2022,10,2346.0,92.0,6.99,0,True
286,Baratili San Pietro,2022,11,2346.0,92.0,6.99,0,True
287,Baratili San Pietro,2022,12,2346.0,92.0,6.99,0,True
288,Baressa,2022,1,0.0,27.0,0.0,0,True
289,Baressa,2022,2,0.0,27.0,0.0,0,True
290,Baressa,2022,3,0.0,27.0,0.0,0,True
291,Baressa,2022,4,0.0,27.0,0.0,0,True
292,Baressa,2022,5,0.0,27.0,0.0,0,True
293,Baressa,2022,6,0.0,27.0,0.0,0,True
294,Baressa,2022,7,0.0,27.0,0.0,0,True
295,Baressa,2022,8,0.0,27.0,0.0,0,True
296,Baressa,2022,9,0.0,27.0,0.0,0,True
297,Baressa,2022,10,0.0,27.0,0.0,0,True
298,Baressa,2022,11,0.0,27.0,0.0,0,True
299,Baressa,2022,12,0.0,27.0,0.0,0,True
300,Bari Sardo,2022,1,197218.0,2825.0,19.13,0,True
301,Bari Sardo,2022,2,197218.0,2825.0,19.13,0,True
302,Bari Sardo,2022,3,197218.0,2825.0,19.13,0,True
303,Bari Sardo,2022,4,197218.0,2825.0,19.13,0,True
304,Bari Sardo,2022,5,197218.0,2825.0,19.13,0,True
305,Bari Sardo,2022,6,197218.0,2825.0,19.13,0,True
306,Bari Sardo,2022,7,197218.0,2825.0,19.13,0,True
307,Bari Sardo,2022,8,197218.0,2825.0,19.13,0,True
308,Bari Sardo,2022,9,197218.0,2825.0,19.13,0,True
309,Bari Sardo,2022,10,197218.0,2825.0,19.13,0,True
310,Bari Sardo,2022,11,197218.0,2825.0,19.13,0,True
311,Bari Sardo,2022,12,197218.0,2825.0,19.13,0,True
312,Barumini,2022,1,1987.0,48.0,11.34,0,True
313,Barumini,2022,2,1987.0,48.0,11.34,0,True
314,Barumini,2022,3,1987.0,48.0,11.34,0,True
315,Barumini,2022,4,1987.0,48.0,11.34,0,True
316,Barumini,2022,5,1987.0,48.0,11.34,0,True
317,Barumini,2022,6,1987.0,48.0,11.34,0,True
318,Barumini,2022,7,1987.0,48.0,11.34,0,True
319,Barumini,2022,8,1987.0,48.0,11.34,0,True
320,Barumini,2022,9,1987.0,48.0,11.34,0,True
321,Barumini,2022,10,1987.0,48.0,11.34,0,True
322,Barumini,2022,11,1987.0,48.0,11.34,0,True
323,Barumini,2022,12,1987.0,48.0,11.34,0,True
324,Bauladu,2022,1,943.01,28.0,9.23,0,True
325,Bauladu,2022,2,943.01,28.0,9.23,0,True
326,Bauladu,2022,3,943.01,28.0,9.23,0,True
327,Bauladu,2022,4,943.01,28.0,9.23,0,True
328,Bauladu,2022,5,943.01,28.0,9.23,0,True
329,Bauladu,2022,6,943.01,28.0,9.23,0,True
330,Bauladu,2022,7,943.01,28.0,9.23,0,True
331,Bauladu,2022,8,943.01,28.0,9.23,0,True
332,Bauladu,2022,9,943.01,28.0,9.23,0,True
333,Bauladu,2022,10,943.01,28.0,9.23,0,True
334,Bauladu,2022,11,943.01,28.0,9.23,0,True
335,Bauladu,2022,12,943.01,28.0,9.23,0,True
336,Baunei,2022,1,65893.0,1616.0,11.17,0,True
337,Baunei,2022,2,65893.0,1616.0,11.17,0,True
338,Baunei,2022,3,65893.0,1616.0,11.17,0,True
339,Baunei,2022,4,65893.0,1616.0,11.17,0,True
340,Baunei,2022,5,65893.0,1616.0,11.17,0,True
341,Baunei,2022,6,65893.0,1616.0,11.17,0,True
342,Baunei,2022,7,65893.0,1616.0,11.17,0,True
343,Baunei,2022,8,65893.0,1616.0,11.17,0,True
344,Baunei,2022,9,65893.0,1616.0,11.17,0,True
345,Baunei,2022,10,65893.0,1616.0,11.17,0,True
346,Baunei,2022,11,65893.0,1616.0,11.17,0,True
347,Baunei,2022,12,65893.0,1616.0,11.17,0,True
348,Belvì,2022,1,373.0,46.0,2.22,0,True
349,Belvì,2022,2,373.0,46.0,2.22,0,True
350,Belvì,2022,3,373.0,46.0,2.22,0,True
351,Belvì,2022,4,373.0,46.0,2.22,0,True
352,Belvì,2022,5,373.0,46.0,2.22,0,True
353,Belvì,2022,6,373.0,46.0,2.22,0,True
354,Belvì,2022,7,373.0,46.0,2.22,0,True
355,Belvì,2022,8,373.0,46.0,2.22,0,True
356,Belvì,2022,9,373.0,46.0,2.22,0,True
357,Belvì,2022,10,373.0,46.0,2.22,0,True
358,Belvì,2022,11,373.0,46.0,2.22,0,True
359,Belvì,2022,12,373.0,46.0,2.22,0,True
360,Benetutti,2022,1,0.0,185.0,0.0,0,True
361,Benetutti,2022,2,0.0,185.0,0.0,0,True
362,Benetutti,2022,3,0.0,185.0,0.0,0,True
363,Benetutti,2022,4,0.0,185.0,0.0,0,True
364,Benetutti,2022,5,0.0,185.0,0.0,0,True
365,Benetutti,2022,6,0.0,185.0,0.0,0,True
366,Benetutti,2022,7,0.0,185.0,0.0,0,True
367,Benetutti,2022,8,0.0,185.0,0.0,0,True
368,Benetutti,2022,9,0.0,185.0,0.0,0,True
369,Benetutti,2022,10,0.0,185.0,0.0,0,True
370,Benetutti,2022,11,0.0,185.0,0.0,0,True
371,Benetutti,2022,12,0.0,185.0,0.0,0,True
372,Berchidda,2022,1,1090.99,446.0,0.67,0,True
373,Berchidda,2022,2,1090.99,446.0,0.67,0,True
374,Berchidda,2022,3,1090.99,446.0,0.67,0,True
