,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,area_km2_reg,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,indice_attrattivita_assoluto,indice_attrattivita_og,indice_attrattivita_log,indice_attrattivita_assoluto_norm,indice_attrattivita_log_norm,classe
323,118041,Samatzai,118041.0,0,3,2,4,5,118041,31.29320060026677,74.68506451386457,0.06694778979633602,0.06480203934766256,0.04016867387780161,0.03938288642344864,0.026779115918534407,0.026426830811645066,0.053558231837068815,0.052173227378154274,0.0,0.0,2.159745256083295,1.9303144210016043,0.607060012258455,2.564149007002131,0.0,1.6365365355774002,0.0,0.9694661374980611,1.3451109400252608,"16,3130883626039",1
213,115069,Siris,115069.0,0,2,1,0,5,115069,6.068851017590487,49.4607149311883,0.10109033011261963,0.09630089807416141,0.040436132045047854,0.039639982983024236,0.020218066022523927,0.02001639466446843,0.0,0.0,0.0,0.0,3.505848564844553,1.9431671818077159,0.4583265349316785,0.0,0.0,1.6292116718916305,0.0,0.9666840567294059,1.3377643746558907,"16,2492250000279",1
169,115025,Gonnoscodina,115025.0,0,2,4,2,3,115025,8.835452059652287,52.2273159732501,0.057441205700414444,0.055852032946283964,0.03829413713360963,0.03757911370977812,0.07658827426721926,0.07379703563753398,0.03829413713360963,0.03757911370977812,0.0,0.0,1.7849388067683916,1.840233147195579,1.7361916971774545,1.8333666056015656,0.0,1.617783259105138,0.0,0.9623278753306383,1.3263021024272312,"16,1492277622588",1
125,114034,Orani,114034.0,0,7,12,5,11,114034,129.9487142672605,173.3405781808583,0.06345888605796003,0.061526695821037626,0.04038292749142911,0.03958884489546535,0.06922787569959277,0.06693677649121064,0.02884494820816365,0.028436763484791003,0.0,0.0,2.0221917869309842,1.940610425330625,1.5693376584450587,1.3809781011814415,0.0,1.6128243892781795,0.0,0.9604317777274611,1.321328540746797,"16,1057023657012",1
285,118003,Ballao,118003.0,0,5,2,4,5,118003,46.10814187056639,89.5000057841642,0.05586591817723303,0.05436120579944135,0.05586591817723303,0.05436120579944135,0.02234636727089321,0.022100345588042383,0.04469273454178642,0.04372280824901759,0.0,0.0,1.7228315432911774,2.6846489338450246,0.506573332393372,2.1397052696615564,0.0,1.6102821533765173,0.0,0.9594583202336662,1.3187787728552514,"16,0833564045131",1
17,112018,Chiaramonti,112018.0,0,2,8,3,14,112018,98.68647355164941,142.07833746524722,0.09853718905898967,0.09397946667001736,0.014076741294141382,0.013978584054918626,0.05630696517656553,0.05477882976310335,0.021115111941212072,0.020895277138054006,0.0,0.0,3.4051884619878723,0.6764608859991825,1.2764314951362665,1.010905167323405,0.0,1.5975938342219211,0.0,0.9545855681595187,1.3060528614805773,"15,9715011571889",1
212,115068,Sini,115068.0,0,1,1,2,5,115068,8.851451818778969,52.24331573237678,0.09570602343873337,0.09139892575710785,0.019141204687746674,0.01896031646350711,0.019141204687746674,0.01896031646350711,0.03828240937549335,0.03756781842847868,0.0,0.0,3.293566966522858,0.9198347836053349,0.433914995092976,1.832805128527048,0.0,1.5797325541558433,0.0,0.947685732380429,1.2881386630442304,"15,8131136944527",1
187,115043,Nureci,115043.0,0,1,0,2,6,115043,13.127218064409044,56.51908197800685,0.10615883680373235,0.10089350653526957,0.017693139467288725,0.01753843797978982,0.0,0.0,0.03538627893457745,0.03477457345134013,0.0,0.0,3.7056794375383304,0.8502476922787885,0.0,1.6941502525256453,0.0,1.578388292210043,0.0,0.9471645107897481,1.2867904183966794,"15,8011489219691",1
158,115014,Bidonì,115014.0,0,2,0,0,6,115014,11.774591049237026,55.166454962834834,0.10876174668178604,0.10324384911250788,0.036253915560595346,0.03561220604705193,0.0,0.0,0.0,0.0,0.0,0.0,3.808301725358677,1.742189852651956,0.0,0.0,0.0,1.578037980770592,0.0,0.9470286370580414,1.286439069074703,"15,7980299063422",1
274,117020,Setzu,117020.0,0,1,1,0,6,117020,7.747286448941186,51.139150362539,0.11732693948695684,0.11093917151914584,0.019554489914492806,0.019365757288738506,0.019554489914492806,0.019365757288738506,0.0,0.0,0.0,0.0,4.145992895037686,0.9396952956949773,0.443283823234203,0.0,0.0,1.5673784570818907,0.0,0.9428853226861805,1.2757479639641012,"15,7029190846229",1
