codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo
91097,Triei,091097,7,3,8,5,9
91098,Ulassai,091098,0,77,8,5,35
91099,Urzulei,091099,0,167,9,6,29
91100,Ussassai,091100,4,67,3,3,29
91101,Villagrande Strisaili,091101,6,48,13,9,44
91103,Cardedu,091103,1,18,15,4,49
91104,Lodine,091104,1,6,2,2,3
92003,Assemini,092003,14,154,42,25,23
92009,Cagliari,092009,344,1126,557,268,312
92011,Capoterra,092011,15,90,14,23,24
92015,Decimomannu,092015,13,12,11,10,4
92037,Maracalagonis,092037,6,96,15,10,29
92050,Pula,092050,24,73,47,11,64
92051,Quartu Sant'Elena,092051,48,97,66,70,88
92066,Sarroch,092066,5,48,4,5,23
92068,Selargius,092068,9,52,16,34,26
92074,Sestu,092074,29,42,16,14,5
92075,Settimo San Pietro,092075,6,18,2,8,11
92080,Sinnai,092080,8,475,36,16,155
92090,Uta,092090,2,53,16,9,17
92099,Villa San Pietro,092099,5,10,7,4,3
92105,Quartucciu,092105,2,41,8,8,39
92108,Elmas,092108,31,44,21,14,9
92109,Monserrato,092109,54,60,12,23,24
95001,Abbasanta,095001,11,50,20,8,13
95002,Aidomaggiore,095002,0,4,1,2,20
95003,Albagiara,095003,4,7,1,1,1
95004,Ales,095004,0,7,4,6,14
95005,Allai,095005,1,6,4,2,15
95006,Arborea,095006,0,32,22,7,24
95007,Ardauli,095007,0,8,3,4,10
95008,Assolo,095008,2,1,1,1,1
95009,Asuni,095009,0,8,2,1,8
95010,Baradili,095010,0,0,2,0,5
95011,Baratili San Pietro,095011,6,4,2,4,2
95012,Baressa,095012,3,4,2,4,3
95013,Bauladu,095013,1,4,2,4,32
95014,Bidonì,095014,0,2,0,0,6
95015,Bonarcado,095015,0,60,4,5,34
95016,Boroneddu,095016,0,1,1,2,3
95017,Busachi,095017,0,10,2,4,6
95018,Cabras,095018,1,54,95,12,136
95019,Cuglieri,095019,6,125,31,6,76
95020,Fordongianus,095020,0,12,8,4,14
95021,Ghilarza,095021,0,25,26,14,23
95022,Gonnoscodina,095022,0,2,4,2,3
95023,Gonnosnò,095023,1,3,4,3,4
95024,Gonnostramatza,095024,0,9,1,3,6
95025,Marrubiu,095025,7,47,13,9,17
95026,Masullas,095026,2,21,7,5,7
95027,Milis,095027,0,4,2,5,15
95028,Mogorella,095028,0,1,2,2,7
95029,Mogoro,095029,8,19,17,7,42
95030,Morgongiori,095030,0,21,2,3,15
95031,Narbolia,095031,3,11,10,5,35
95032,Neoneli,095032,0,10,2,3,7
95033,Norbello,095033,0,8,5,4,16
95034,Nughedu Santa Vittoria,095034,1,12,1,2,9
95035,Nurachi,095035,1,11,6,5,6
95036,Nureci,095036,0,1,0,2,6
95037,Ollastra,095037,0,4,5,5,11
95038,Oristano,095038,74,149,229,59,63
95039,Palmas Arborea,095039,0,47,2,4,7
95040,Pau,095040,0,43,3,2,13
95041,Paulilatino,095041,4,22,4,6,57
95042,Pompu,095042,0,3,1,0,2
95043,Riola Sardo,095043,4,23,15,5,11
95044,Ruinas,095044,0,4,1,4,3
95045,Samugheo,095045,0,32,7,5,28
95046,San Nicolò d'Arcidano,095046,3,19,8,5,20
95047,Santa Giusta,095047,1,35,17,6,12
95048,Villa Sant'Antonio,095048,0,6,0,3,19
95049,Santu Lussurgiu,095049,1,208,12,4,24
95050,San Vero Milis,095050,0,11,28,5,32
95051,Scano di Montiferro,095051,2,10,4,5,38
95052,Sedilo,095052,5,244,20,6,80
95053,Seneghe,095053,0,60,5,5,36
95054,Senis,095054,0,3,0,2,5
95055,Sennariolo,095055,0,1,2,0,14
95056,Siamaggiore,095056,6,8,5,2,6
95057,Siamanna,095057,0,6,2,2,5
95058,Simala,095058,1,3,2,2,2
95059,Simaxis,095059,3,16,16,5,7
