codice_istat,nome_comune,area_km2,turismo,natura,ristorazione,servizi,infrastrutture,indice,classe
111053,Pauli Arbarei,15.44,13,1,4,2,0,4.42,4
111054,Perdaxius,29.89,3,9,3,6,0,1.99,2
111055,Pimentel,15.19,7,1,2,4,0,3.23,3
111056,Piscinas,16.94,6,4,0,2,0,2.14,2
111057,Portoscuso,37.86,23,26,11,11,14,5.96,5
111058,Sadali,50.16,15,28,8,5,6,3.08,3
111059,Samassi,41.75,3,4,10,7,6,1.96,2
111060,Samatzai,31.21,5,3,2,4,0,1.41,1
111061,San Basilio,44.41,6,2,2,5,0,1.1,1
111062,San Gavino Monreale,87.45,6,9,17,17,15,1.97,2
111063,San Giovanni Suergiu,72.04,30,28,6,5,15,2.94,3
111064,San Nicolò Gerrei,63.74,3,9,3,4,0,0.75,1
111065,San Sperate,26.1,43,13,2,6,1,8.09,5
111066,San Vito,231.31,69,210,12,5,1,2.93,3
111067,Sanluri,84.02,13,16,19,14,4,2.27,2
111068,Santadi,115.87,15,12,15,7,2,1.24,1
111069,Sant'Andrea Frius,36.07,3,3,4,5,0,1.29,1
111070,Sant'Anna Arresi,36.03,20,18,12,6,5,4.74,4
111071,Sant'Antioco,88.51,87,72,22,15,12,6.63,5
111072,Sardara,56.87,21,10,9,5,1,2.45,2
111073,Segariu,17.24,7,4,2,3,0,2.91,3
111074,Selegas,20.42,10,3,3,4,0,3.24,3
111075,Senorbì,34.75,5,9,16,9,4,3.54,3
111076,Serdiana,55.32,8,7,5,5,2,1.37,1
111077,Serramanna,84.21,10,480,9,18,4,12.21,5
111078,Serrenti,43.03,11,21,13,7,3,3.43,3
111079,Serri,18.92,16,8,3,2,1,4.76,4
111080,Setzu,7.8,6,3,1,0,0,3.81,3
111081,Seui,147.02,91,121,3,5,8,3.96,4
111082,Seulo,59.13,43,191,6,4,1,9.16,5
111083,Siddi,11.16,9,12,4,3,0,7.07,5
111084,Siliqua,189.8,18,46,3,5,7,0.91,1
111085,Silius,38.32,10,4,3,4,0,1.73,2
111086,Siurgus Donigala,76.22,7,6,3,5,0,0.79,1
111087,Soleminis,12.71,5,57,6,5,1,12.86,5
111088,Suelli,19.23,6,6,2,4,4,3.08,3
111089,Teulada,244.54,37,43,10,7,2,1.04,1
111090,Tratalias,30.99,13,3,3,2,0,2.18,2
111091,Tuili,24.21,23,15,4,4,0,5.72,5
111092,Turri,9.28,4,2,2,2,0,3.44,3
111093,Ussana,32.84,4,1,6,6,0,1.74,2
111094,Ussaramanna,9.58,6,3,2,3,1,4.86,4
111095,Vallermosa,61.64,8,15,2,5,1,1.3,1
111096,Villacidro,183.16,28,85,26,20,3,2.24,2
111097,Villamar,38.33,14,6,11,7,0,3.17,3
111098,Villamassargia,91.76,27,45,0,6,7,2.26,2
111099,Villanova Tulo,40.49,27,7,5,5,3,3.64,3
111100,Villanovaforru,10.85,19,3,4,3,0,9.08,5
111101,Villanovafranca,27.74,11,1,3,4,0,2.36,2
111102,Villaperuccio,36.45,37,5,2,3,0,4.37,4
111103,Villaputzu,180.73,56,102,18,6,5,2.56,2
111104,Villasalto,130.39,10,46,1,4,1,1.0,1
111105,Villasimius,57.56,65,124,68,7,4,12.16,5
111106,Villasor,86.41,19,252,6,6,7,6.72,5
111107,Villaspeciosa,27.25,3,21,1,5,4,2.81,3
