comune,rank,mercato,presenze,quota_pct
Bauladu,4,Spagna,163,3.72
Bauladu,5,Germania,132,3.01
Baunei,1,Italia,120829,30.27
Baunei,2,Germania,94378,23.65
Baunei,3,Francia,30660,7.68
Baunei,4,Svizzera (incluso Liechtenstein),23800,5.96
Baunei,5,Stati Uniti d'America,15188,3.81
Belvì,1,Italia,731,66.21
Belvì,2,Francia,145,13.13
Belvì,3,Germania,39,3.53
Belvì,4,Spagna,34,3.08
Belvì,5,Paesi Bassi,26,2.36
Benetutti,1,Italia,20317,84.28
Benetutti,2,Francia,790,3.28
Benetutti,3,Germania,646,2.68
Benetutti,4,Spagna,416,1.73
Benetutti,5,Paesi Bassi,298,1.24
Berchidda,1,Italia,8683,63.34
Berchidda,2,Germania,1010,7.37
Berchidda,3,Francia,873,6.37
Berchidda,4,Paesi Bassi,711,5.19
Berchidda,5,Regno Unito,303,2.21
Bessude,1,Italia,66,33.5
Bessude,2,Canada,36,18.27
Bessude,3,Stati Uniti d'America,21,10.66
Bessude,4,Ungheria,21,10.66
Bessude,5,Germania,16,8.12
Bitti,1,Italia,4447,31.39
Bitti,2,Germania,2032,14.34
Bitti,3,Paesi Bassi,1994,14.07
Bitti,4,Belgio,1201,8.48
Bitti,5,Francia,1098,7.75
Bolotana,1,Italia,2914,70.59
Bolotana,2,Francia,301,7.29
Bolotana,3,Spagna,267,6.47
Bolotana,4,Egitto,90,2.18
Bolotana,5,Germania,88,2.13
Bonarcado,1,Italia,7964,60.61
Bonarcado,2,Francia,1223,9.31
Bonarcado,3,Spagna,872,6.64
Bonarcado,4,Germania,758,5.77
Bonarcado,5,Ungheria,260,1.98
Bonnanaro,1,Italia,33,53.23
Bonnanaro,2,Germania,12,19.35
Bonnanaro,3,Spagna,9,14.52
Bonnanaro,4,Lettonia,6,9.68
Bonnanaro,5,Altri Paesi Centro - Sud America,2,3.23
Bono,1,Italia,780,46.57
Bono,2,Germania,258,15.4
Bono,3,Francia,155,9.25
Bono,4,Spagna,133,7.94
Bono,5,Altri Paesi dell'Asia,92,5.49
Bonorva,1,Italia,1173,66.72
Bonorva,2,Spagna,175,9.95
Bonorva,3,Francia,153,8.7
Bonorva,4,Germania,52,2.96
Bonorva,5,Paesi Bassi,33,1.88
Boroneddu,1,Italia,34,73.91
Boroneddu,2,Spagna,12,26.09
Borore,1,Italia,16,100.0
Bortigali,1,Italia,1214,92.18
Bortigali,2,Stati Uniti d'America,28,2.13
Bortigali,3,Francia,24,1.82
Bortigali,4,Romania,16,1.21
Bortigali,5,Spagna,13,0.99
Bortigiadas,1,Italia,2534,51.61
Bortigiadas,2,Francia,647,13.18
Bortigiadas,3,Germania,289,5.89
Bortigiadas,4,Spagna,274,5.58
Bortigiadas,5,Polonia,197,4.01
Bosa,1,Italia,189582,44.95
Bosa,2,Francia,45717,10.84
Bosa,3,Germania,45372,10.76
Bosa,4,Paesi Bassi,19171,4.55
Bosa,5,Svizzera (incluso Liechtenstein),16803,3.98
Bottidda,1,Italia,965,68.05
Bottidda,2,Germania,105,7.4
Bottidda,3,Svizzera (incluso Liechtenstein),59,4.16
Bottidda,4,Francia,55,3.88
Bottidda,5,Spagna,41,2.89
Buddusò,1,Italia,191,76.1
Buddusò,2,Germania,16,6.37
Buddusò,3,Altri Paesi dell'Asia,12,4.78
Buddusò,4,Lituania,9,3.59
Buddusò,5,Svizzera (incluso Liechtenstein),9,3.59
Budoni,1,Italia,1464285,48.25
Budoni,2,Francia,522397,17.21
Budoni,3,Regno Unito,423658,13.96
Budoni,4,Germania,284296,9.37
Budoni,5,Svizzera (incluso Liechtenstein),63061,2.08
Buggerru,1,Italia,46795,58.92
Buggerru,2,Germania,10721,13.5
Buggerru,3,Francia,5468,6.88
Buggerru,4,Svizzera (incluso Liechtenstein),4254,5.36
Buggerru,5,Austria,2268,2.86
Bultei,1,Italia,192,91.87
Bultei,2,Germania,8,3.83
Bultei,3,Francia,4,1.91
Bultei,4,Regno Unito,2,0.96
Bultei,5,Romania,2,0.96
Burcei,1,Italia,772,58.22
Burcei,2,Francia,189,14.25
Burcei,3,Germania,119,8.97
Burcei,4,Paesi Bassi,55,4.15
Burcei,5,Spagna,33,2.49
Burgos,1,Altri Paesi Centro - Sud America,64,37.65
Burgos,2,Italia,55,32.35
Burgos,3,Spagna,40,23.53
Burgos,4,Egitto,6,3.53
Burgos,5,Stati Uniti d'America,4,2.35
Busachi,1,Italia,244,97.21
Busachi,2,Francia,4,1.59
Busachi,3,Stati Uniti d'America,2,0.8
Busachi,4,Svizzera (incluso Liechtenstein),1,0.4
Cabras,1,Italia,247873,62.01
Cabras,2,Germania,46835,11.72
Cabras,3,Francia,25608,6.41
Cabras,4,Svizzera (incluso Liechtenstein),17351,4.34
Cabras,5,Paesi Bassi,8524,2.13
Cagliari,1,Italia,1568989,42.14
Cagliari,2,Germania,300232,8.06
Cagliari,3,Francia,296899,7.97
Cagliari,4,Regno Unito,160619,4.31
Cagliari,5,Polonia,158922,4.27
Calangianus,1,Italia,2101,21.24
Calangianus,2,Francia,1896,19.17
Calangianus,3,Germania,1810,18.3
Calangianus,4,Paesi Bassi,847,8.56
Calangianus,5,Spagna,563,5.69
Calasetta,1,Italia,163251,70.94
Calasetta,2,Germania,18681,8.12
Calasetta,3,Francia,14967,6.5
Calasetta,4,Svizzera (incluso Liechtenstein),6293,2.73
Calasetta,5,Polonia,3384,1.47
Capoterra,1,Italia,78508,31.62
Capoterra,2,Germania,46631,18.78
Capoterra,3,Francia,29150,11.74
Capoterra,4,Polonia,10195,4.11
Capoterra,5,Regno Unito,10040,4.04
Carbonia,1,Italia,89734,58.66
Carbonia,2,Germania,15590,10.19
Carbonia,3,Francia,13532,8.85
Carbonia,4,Spagna,5135,3.36
Carbonia,5,Paesi Bassi,4206,2.75
Cardedu,1,Italia,295396,43.87
Cardedu,2,Germania,162924,24.2
Cardedu,3,Svizzera (incluso Liechtenstein),35948,5.34
Cardedu,4,Francia,30376,4.51
Cardedu,5,Austria,23628,3.51
Carloforte,1,Italia,147707,78.45
Carloforte,2,Francia,8223,4.37
Carloforte,3,Germania,7432,3.95
Carloforte,4,Svizzera (incluso Liechtenstein),5981,3.18
Carloforte,5,Regno Unito,3381,1.8
Castelsardo,1,Italia,198936,23.83
Castelsardo,2,Francia,150270,18.0
Castelsardo,3,Germania,103608,12.41
Castelsardo,4,Paesi Bassi,101645,12.18
Castelsardo,5,Spagna,59027,7.07
Castiadas,1,Italia,883482,67.57
Castiadas,2,Germania,143087,10.94
Castiadas,3,Svizzera (incluso Liechtenstein),79268,6.06
Castiadas,4,Francia,26515,2.03
Castiadas,5,Repubblica Ceca,24088,1.84
Cheremule,1,Italia,489,35.54
Cheremule,2,Germania,164,11.92
Cheremule,3,Francia,130,9.45
Cheremule,4,Paesi Bassi,94,6.83
Cheremule,5,Polonia,66,4.8
Chiaramonti,1,Italia,994,42.07
Chiaramonti,2,Francia,416,17.6
Chiaramonti,3,Altri Paesi Europei,269,11.38
Chiaramonti,4,Romania,136,5.76
