comune,anno,rank,mercato,presenze,quota_pct
Baressa,2023,3,Spagna,66,6.12
Baressa,2023,4,Francia,42,3.89
Baressa,2023,5,Stati Uniti d'America,35,3.24
Baressa,2024,1,Italia,561,51.71
Baressa,2024,2,Germania,138,12.72
Baressa,2024,3,Spagna,99,9.12
Baressa,2024,4,Francia,95,8.76
Baressa,2024,5,Paesi Bassi,67,6.18
Baressa,2025,1,Italia,791,58.25
Baressa,2025,2,Germania,234,17.23
Baressa,2025,3,Francia,74,5.45
Baressa,2025,4,Svizzera (incluso Liechtenstein),48,3.53
Baressa,2025,5,Austria,47,3.46
Bari Sardo,2022,1,Germania,75467,38.27
Bari Sardo,2022,2,Italia,71730,36.37
Bari Sardo,2022,3,Svizzera (incluso Liechtenstein),20370,10.33
Bari Sardo,2022,4,Austria,7876,3.99
Bari Sardo,2022,5,Paesi Bassi,5097,2.58
Bari Sardo,2023,1,Germania,73606,37.98
Bari Sardo,2023,2,Italia,68951,35.58
Bari Sardo,2023,3,Svizzera (incluso Liechtenstein),19322,9.97
Bari Sardo,2023,4,Austria,7570,3.91
Bari Sardo,2023,5,Francia,4801,2.48
Bari Sardo,2024,1,Germania,86517,37.14
Bari Sardo,2024,2,Italia,83333,35.78
Bari Sardo,2024,3,Svizzera (incluso Liechtenstein),19775,8.49
Bari Sardo,2024,4,Paesi Bassi,8089,3.47
Bari Sardo,2024,5,Austria,7551,3.24
Bari Sardo,2025,1,Germania,91239,36.22
Bari Sardo,2025,2,Italia,84380,33.5
Bari Sardo,2025,3,Svizzera (incluso Liechtenstein),21184,8.41
Bari Sardo,2025,4,Austria,9725,3.86
Bari Sardo,2025,5,Paesi Bassi,8393,3.33
Barumini,2022,1,Italia,1318,66.33
Barumini,2022,2,Francia,268,13.49
Barumini,2022,3,Germania,119,5.99
Barumini,2022,4,Svizzera (incluso Liechtenstein),61,3.07
Barumini,2022,5,Austria,48,2.42
Barumini,2023,1,Italia,1625,68.74
Barumini,2023,2,Francia,186,7.87
Barumini,2023,3,Germania,115,4.86
Barumini,2023,4,Regno Unito,80,3.38
Barumini,2023,5,Svizzera (incluso Liechtenstein),67,2.83
Barumini,2024,1,Italia,1226,66.49
Barumini,2024,2,Germania,161,8.73
Barumini,2024,3,Francia,136,7.38
Barumini,2024,4,Stati Uniti d'America,55,2.98
Barumini,2024,5,Austria,42,2.28
Barumini,2025,1,Italia,1672,53.85
Barumini,2025,2,Francia,260,8.37
Barumini,2025,3,Germania,174,5.6
Barumini,2025,4,Belgio,153,4.93
Barumini,2025,5,Svizzera (incluso Liechtenstein),149,4.8
Bauladu,2022,1,Italia,510,54.08
Bauladu,2022,2,Francia,140,14.85
Bauladu,2022,3,Portogallo,71,7.53
Bauladu,2022,4,Polonia,50,5.3
Bauladu,2022,5,Spagna,46,4.88
Bauladu,2023,1,Italia,558,64.66
Bauladu,2023,2,Francia,109,12.63
Bauladu,2023,3,Paesi Bassi,52,6.03
Bauladu,2023,4,Ungheria,50,5.79
Bauladu,2023,5,Slovacchia,32,3.71
Bauladu,2024,1,Italia,787,75.75
Bauladu,2024,2,Germania,40,3.85
Bauladu,2024,3,Francia,33,3.18
Bauladu,2024,4,Spagna,30,2.89
Bauladu,2024,5,Cina,24,2.31
Bauladu,2025,1,Italia,1079,70.2
Bauladu,2025,2,Francia,93,6.05
Bauladu,2025,3,Spagna,73,4.75
Bauladu,2025,4,Paesi Bassi,63,4.1
Bauladu,2025,5,Germania,43,2.8
Baunei,2022,1,Italia,22558,34.23
Baunei,2022,2,Germania,16347,24.81
Baunei,2022,3,Svizzera (incluso Liechtenstein),4976,7.55
Baunei,2022,4,Francia,4708,7.14
Baunei,2022,5,Austria,2589,3.93
Baunei,2023,1,Italia,26622,32.42
Baunei,2023,2,Germania,18018,21.94
Baunei,2023,3,Francia,6572,8.0
Baunei,2023,4,Svizzera (incluso Liechtenstein),5359,6.53
Baunei,2023,5,Stati Uniti d'America,3060,3.73
