comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Banari,2024,8,281.0,11.0,7.0,0,True
Banari,2024,9,281.0,11.0,7.0,0,True
Banari,2024,10,281.0,11.0,7.0,0,True
Banari,2024,11,281.0,11.0,7.0,0,True
Banari,2024,12,281.0,11.0,7.0,0,True
Baradili,2024,1,56.0,30.0,0.51,0,True
Baradili,2024,2,56.0,30.0,0.51,0,True
Baradili,2024,3,56.0,30.0,0.51,0,True
Baradili,2024,4,56.0,30.0,0.51,0,True
Baradili,2024,5,56.0,30.0,0.51,0,True
Baradili,2024,6,56.0,30.0,0.51,0,True
Baradili,2024,7,56.0,30.0,0.51,0,True
Baradili,2024,8,56.0,30.0,0.51,0,True
Baradili,2024,9,56.0,30.0,0.51,0,True
Baradili,2024,10,56.0,30.0,0.51,0,True
Baradili,2024,11,56.0,30.0,0.51,0,True
Baradili,2024,12,56.0,30.0,0.51,0,True
Baratili San Pietro,2024,1,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,2,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,3,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,4,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,5,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,6,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,7,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,8,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,9,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,10,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,11,2782.0,154.0,4.95,0,True
Baratili San Pietro,2024,12,2782.0,154.0,4.95,0,True
Baressa,2024,1,1085.0,27.0,11.01,0,True
Baressa,2024,2,1085.0,27.0,11.01,0,True
Baressa,2024,3,1085.0,27.0,11.01,0,True
Baressa,2024,4,1085.0,27.0,11.01,0,True
Baressa,2024,5,1085.0,27.0,11.01,0,True
Baressa,2024,6,1085.0,27.0,11.01,0,True
Baressa,2024,7,1085.0,27.0,11.01,0,True
Baressa,2024,8,1085.0,27.0,11.01,0,True
Baressa,2024,9,1085.0,27.0,11.01,0,True
Baressa,2024,10,1085.0,27.0,11.01,0,True
Baressa,2024,11,1085.0,27.0,11.01,0,True
Baressa,2024,12,1085.0,27.0,11.01,0,True
Bari Sardo,2024,1,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,2,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,3,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,4,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,5,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,6,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,7,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,8,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,9,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,10,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,11,232929.0,3236.0,19.72,0,True
Bari Sardo,2024,12,232929.0,3236.0,19.72,0,True
Barrali,2024,1,0.0,4.0,0.0,0,True
Barrali,2024,2,0.0,4.0,0.0,0,True
Barrali,2024,3,0.0,4.0,0.0,0,True
Barrali,2024,4,0.0,4.0,0.0,0,True
Barrali,2024,5,0.0,4.0,0.0,0,True
Barrali,2024,6,0.0,4.0,0.0,0,True
Barrali,2024,7,0.0,4.0,0.0,0,True
Barrali,2024,8,0.0,4.0,0.0,0,True
Barrali,2024,9,0.0,4.0,0.0,0,True
Barrali,2024,10,0.0,4.0,0.0,0,True
Barrali,2024,11,0.0,4.0,0.0,0,True
Barrali,2024,12,0.0,4.0,0.0,0,True
Barumini,2024,1,1844.0,52.0,9.72,0,True
Barumini,2024,2,1844.0,52.0,9.72,0,True
Barumini,2024,3,1844.0,52.0,9.72,0,True
Barumini,2024,4,1844.0,52.0,9.72,0,True
Barumini,2024,5,1844.0,52.0,9.72,0,True
Barumini,2024,6,1844.0,52.0,9.72,0,True
Barumini,2024,7,1844.0,52.0,9.72,0,True
Barumini,2024,8,1844.0,52.0,9.72,0,True
Barumini,2024,9,1844.0,52.0,9.72,0,True
Barumini,2024,10,1844.0,52.0,9.72,0,True
Barumini,2024,11,1844.0,52.0,9.72,0,True
Barumini,2024,12,1844.0,52.0,9.72,0,True
Bauladu,2024,1,1039.0,27.0,10.54,0,True
Bauladu,2024,2,1039.0,27.0,10.54,0,True
Bauladu,2024,3,1039.0,27.0,10.54,0,True
Bauladu,2024,4,1039.0,27.0,10.54,0,True
Bauladu,2024,5,1039.0,27.0,10.54,0,True
Bauladu,2024,6,1039.0,27.0,10.54,0,True
Bauladu,2024,7,1039.0,27.0,10.54,0,True
Bauladu,2024,8,1039.0,27.0,10.54,0,True
Bauladu,2024,9,1039.0,27.0,10.54,0,True
Bauladu,2024,10,1039.0,27.0,10.54,0,True
Bauladu,2024,11,1039.0,27.0,10.54,0,True
Bauladu,2024,12,1039.0,27.0,10.54,0,True
Baunei,2024,1,105962.0,2329.0,12.46,0,True
Baunei,2024,2,105962.0,2329.0,12.46,0,True
Baunei,2024,3,105962.0,2329.0,12.46,0,True
Baunei,2024,4,105962.0,2329.0,12.46,0,True
Baunei,2024,5,105962.0,2329.0,12.46,0,True
Baunei,2024,6,105962.0,2329.0,12.46,0,True
Baunei,2024,7,105962.0,2329.0,12.46,0,True
Baunei,2024,8,105962.0,2329.0,12.46,0,True
Baunei,2024,9,105962.0,2329.0,12.46,0,True
Baunei,2024,10,105962.0,2329.0,12.46,0,True
Baunei,2024,11,105962.0,2329.0,12.46,0,True
Baunei,2024,12,105962.0,2329.0,12.46,0,True
Belvì,2024,1,264.01,52.0,1.39,0,True
Belvì,2024,2,264.01,52.0,1.39,0,True
Belvì,2024,3,264.01,52.0,1.39,0,True
Belvì,2024,4,264.01,52.0,1.39,0,True
Belvì,2024,5,264.01,52.0,1.39,0,True
Belvì,2024,6,264.01,52.0,1.39,0,True
