comune,anno,abitazioni_totali,abitazioni_occupate,abitazioni_non_occupate,somma_controllo,differenza
Lodè,2023,1414,806,608,1414,0
Loiri Porto San Paolo,2019,5063,1753,3310,5063,0
Loiri Porto San Paolo,2021,5094,1771,3323,5094,0
Loiri Porto San Paolo,2023,5199,1848,3351,5199,0
Lotzorai,2019,1481,1004,477,1481,0
Lotzorai,2021,1495,1008,487,1495,0
Lotzorai,2023,1519,1020,499,1519,0
Lula,2019,1103,624,479,1103,0
Lula,2021,1103,620,483,1103,0
Lula,2023,1118,623,495,1118,0
Lunamatrona,2019,954,671,283,954,0
Lunamatrona,2021,954,702,252,954,0
Lunamatrona,2023,961,698,263,961,0
Luogosanto,2019,1373,798,575,1373,0
Luogosanto,2021,1378,806,572,1378,0
Luogosanto,2023,1394,815,579,1394,0
Luras,2019,1646,1046,600,1646,0
Luras,2021,1647,1052,595,1647,0
Luras,2023,1671,1042,629,1671,0
Macomer,2019,5075,4163,912,5075,0
Macomer,2021,5075,4124,951,5075,0
Macomer,2023,5105,4145,960,5105,0
Magomadas,2019,1017,347,670,1017,0
Magomadas,2021,1017,344,673,1017,0
Magomadas,2023,1026,342,684,1026,0
Mamoiada,2019,1311,1009,302,1311,0
Mamoiada,2021,1311,1012,299,1311,0
Mamoiada,2023,1330,1017,313,1330,0
Mandas,2019,1286,870,416,1286,0
Mandas,2021,1294,850,444,1294,0
Mandas,2023,1317,846,471,1317,0
Mara,2019,462,244,218,462,0
Mara,2021,462,234,228,462,0
Mara,2023,463,242,221,463,0
Maracalagonis,2019,5141,3273,1868,5141,0
Maracalagonis,2021,5175,3407,1768,5175,0
Maracalagonis,2023,5256,3481,1775,5256,0
Marrubiu,2019,2598,1925,673,2598,0
Marrubiu,2021,2604,1961,643,2604,0
Marrubiu,2023,2641,1989,652,2641,0
Martis,2019,457,245,212,457,0
Martis,2021,453,240,213,453,0
Martis,2023,453,240,213,453,0
Masainas,2019,864,573,291,864,0
Masainas,2021,881,546,335,881,0
Masainas,2023,914,555,359,914,0
Masullas,2019,644,423,221,644,0
Masullas,2021,646,420,226,646,0
Masullas,2023,661,435,226,661,0
Meana Sardo,2019,1243,760,483,1243,0
Meana Sardo,2021,1239,736,503,1239,0
Meana Sardo,2023,1238,733,505,1238,0
Milis,2019,821,610,211,821,0
Milis,2021,825,572,253,825,0
Milis,2023,837,578,259,837,0
Modolo,2019,172,84,88,172,0
Modolo,2021,175,80,95,175,0
Modolo,2023,179,85,94,179,0
Mogorella,2019,316,189,127,316,0
Mogorella,2021,316,188,128,316,0
Mogorella,2023,318,186,132,318,0
Mogoro,2019,2359,1628,731,2359,0
Mogoro,2021,2372,1686,686,2372,0
Mogoro,2023,2393,1666,727,2393,0
Monastir,2019,2153,1886,267,2153,0
Monastir,2021,2160,1897,263,2160,0
Monastir,2023,2195,1937,258,2195,0
Monserrato,2019,9057,8319,738,9057,0
Monserrato,2021,9113,8385,728,9113,0
Monserrato,2023,9234,8502,732,9234,0
Monteleone Rocca Doria,2019,137,62,75,137,0
Monteleone Rocca Doria,2021,137,61,76,137,0
Monteleone Rocca Doria,2023,136,58,78,136,0
Monti,2019,1485,983,502,1485,0
Monti,2021,1490,995,495,1490,0
Monti,2023,1514,1013,501,1514,0
Montresta,2019,507,209,298,507,0
Montresta,2021,505,210,295,505,0
Montresta,2023,502,210,292,502,0
Mores,2019,1361,834,527,1361,0
Mores,2021,1360,822,538,1360,0
Mores,2023,1366,811,555,1366,0
Morgongiori,2019,519,317,202,519,0
Morgongiori,2021,519,319,200,519,0
Morgongiori,2023,523,308,215,523,0
Muravera,2019,6862,2522,4340,6862,0
Muravera,2021,6903,2520,4383,6903,0
Muravera,2023,6961,2522,4439,6961,0
Muros,2019,454,333,121,454,0
Muros,2021,452,357,95,452,0
Muros,2023,454,351,103,454,0
Musei,2019,718,610,108,718,0
Musei,2021,720,622,98,720,0
Musei,2023,732,644,88,732,0
Narbolia,2019,1334,708,626,1334,0
Narbolia,2021,1341,721,620,1341,0
Narbolia,2023,1336,722,614,1336,0
Narcao,2019,1731,1257,474,1731,0
Narcao,2021,1771,1282,489,1771,0
Narcao,2023,1772,1296,476,1772,0
Neoneli,2019,508,305,203,508,0
Neoneli,2021,511,299,212,511,0
Neoneli,2023,508,291,217,508,0
Noragugume,2019,256,139,117,256,0
Noragugume,2021,256,126,130,256,0
Noragugume,2023,255,130,125,255,0
Norbello,2019,716,510,206,716,0
Norbello,2021,723,504,219,723,0
Norbello,2023,727,507,220,727,0
Nughedu San Nicolò,2019,708,398,310,708,0
Nughedu San Nicolò,2021,708,391,317,708,0
Nughedu San Nicolò,2023,706,382,324,706,0
Nughedu Santa Vittoria,2019,387,222,165,387,0
Nughedu Santa Vittoria,2021,386,208,178,386,0
Nughedu Santa Vittoria,2023,390,220,170,390,0
Nule,2019,800,501,299,800,0
Nule,2021,803,501,302,803,0
Nule,2023,804,506,298,804,0
Nulvi,2019,1627,1115,512,1627,0
Nulvi,2021,1627,1125,502,1627,0
Nulvi,2023,1616,1131,485,1616,0
Nuoro,2019,17720,15110,2610,17720,0
Nuoro,2021,17756,15324,2432,17756,0
Nuoro,2023,17953,15415,2538,17953,0
Nurachi,2019,922,724,198,922,0
Nurachi,2021,925,730,195,925,0
Nurachi,2023,934,740,194,934,0
Nuragus,2019,581,397,184,581,0
Nuragus,2021,593,392,201,593,0
Nuragus,2023,594,391,203,594,0
Nurallao,2019,697,474,223,697,0
Nurallao,2021,697,475,222,697,0
Nurallao,2023,698,480,218,698,0
Nuraminis,2019,1405,1034,371,1405,0
Nuraminis,2021,1410,1010,400,1410,0
Nuraminis,2023,1411,1011,400,1411,0
Nureci,2019,272,151,121,272,0
Nureci,2021,274,144,130,274,0
Nureci,2023,276,140,136,276,0
Nurri,2019,1390,912,478,1390,0
Nurri,2021,1388,890,498,1388,0
Nurri,2023,1399,895,504,1399,0
Nuxis,2019,1165,632,533,1165,0
Nuxis,2021,1160,659,501,1160,0
Nuxis,2023,1169,658,511,1169,0
Olbia,2019,42657,27420,15237,42657,0
Olbia,2021,42822,28279,14543,42822,0
Olbia,2023,43490,28870,14620,43490,0
Oliena,2019,3579,2664,915,3579,0
Oliena,2021,3588,2628,960,3588,0
Oliena,2023,3668,2651,1017,3668,0
Ollastra,2019,635,472,163,635,0
Ollastra,2021,636,459,177,636,0
Ollastra,2023,644,461,183,644,0
Ollolai,2019,847,574,273,847,0
Ollolai,2021,850,539,311,850,0
Ollolai,2023,883,524,359,883,0
Olmedo,2019,2133,1817,316,2133,0
Olmedo,2021,2140,1831,309,2140,0
Olmedo,2023,2157,1856,301,2157,0
Olzai,2019,707,378,329,707,0
Olzai,2021,703,375,328,703,0
Olzai,2023,710,373,337,710,0
Onanì,2019,339,154,185,339,0
Onanì,2021,339,164,175,339,0
Onanì,2023,365,160,205,365,0
Onifai,2019,444,314,130,444,0
Onifai,2021,450,304,146,450,0
Onifai,2023,459,329,130,459,0
Oniferi,2019,488,387,101,488,0
Oniferi,2021,489,370,119,489,0
Oniferi,2023,491,379,112,491,0
Orani,2019,1649,1236,413,1649,0
Orani,2021,1645,1219,426,1645,0
Orani,2023,1662,1232,430,1662,0
Orgosolo,2019,2493,1674,819,2493,0
Orgosolo,2021,2528,1649,879,2528,0
Orgosolo,2023,2583,1679,904,2583,0
Oristano,2019,17116,13577,3539,17116,0
Oristano,2021,17226,14223,3003,17226,0
Oristano,2023,17590,14466,3124,17590,0
Orosei,2019,5779,3096,2683,5779,0
Orosei,2021,5809,3240,2569,5809,0
Orosei,2023,5968,3353,2615,5968,0
Orotelli,2019,1328,812,516,1328,0
Orotelli,2021,1326,814,512,1326,0
Orotelli,2023,1335,808,527,1335,0
Orroli,2019,1504,948,556,1504,0
Orroli,2021,1504,913,591,1504,0
Orroli,2023,1509,919,590,1509,0
Ortacesus,2019,456,356,100,456,0
Ortacesus,2021,456,355,101,456,0
Ortacesus,2023,460,362,98,460,0
Ortueri,2019,1035,491,544,1035,0
Ortueri,2021,1029,484,545,1029,0
Ortueri,2023,1034,474,560,1034,0
Orune,2019,1432,1000,432,1432,0
Orune,2021,1433,980,453,1433,0
Orune,2023,1446,962,484,1446,0
Oschiri,2019,2167,1339,828,2167,0
Oschiri,2021,2174,1318,856,2174,0
Oschiri,2023,2182,1340,842,2182,0
Osidda,2019,187,125,62,187,0
Osidda,2021,187,130,57,187,0
Osidda,2023,189,131,58,189,0
Osilo,2019,2066,1356,710,2066,0
Osilo,2021,2072,1404,668,2072,0
Osilo,2023,2065,1402,663,2065,0
Osini,2019,626,384,242,626,0
Osini,2021,625,394,231,625,0
Osini,2023,641,384,257,641,0
Ossi,2019,2770,2256,514,2770,0
Ossi,2021,2779,2274,505,2779,0
Ossi,2023,2816,2306,510,2816,0
Ottana,2019,1223,1006,217,1223,0
Ottana,2021,1225,1024,201,1225,0
Ottana,2023,1253,1042,211,1253,0
Ovodda,2019,968,747,221,968,0
Ovodda,2021,982,719,263,982,0
Ovodda,2023,991,691,300,991,0
Ozieri,2019,5543,4264,1279,5543,0
Ozieri,2021,5546,4194,1352,5546,0
Ozieri,2023,5549,4203,1346,5549,0
Pabillonis,2019,1330,1112,218,1330,0
Pabillonis,2021,1336,1123,213,1336,0
Pabillonis,2023,1380,1108,272,1380,0
Padria,2019,740,322,418,740,0
Padria,2021,736,314,422,736,0
Padria,2023,730,313,417,730,0
Padru,2019,1052,826,226,1052,0
Padru,2021,1061,877,184,1061,0
Padru,2023,1119,916,203,1119,0
Palau,2019,7439,1996,5443,7439,0
Palau,2021,7455,2061,5394,7455,0
Palau,2023,7497,2083,5414,7497,0
Palmas Arborea,2019,663,576,87,663,0
Palmas Arborea,2021,670,590,80,670,0
Palmas Arborea,2023,700,603,97,700,0
Pattada,2019,1800,1213,587,1800,0
Pattada,2021,1801,1225,576,1801,0
Pattada,2023,1804,1206,598,1804,0
Pau,2019,249,132,117,249,0
Pau,2021,250,131,119,250,0
Pau,2023,247,135,112,247,0
Pauli Arbarei,2019,381,247,134,381,0
Pauli Arbarei,2021,381,247,134,381,0
Pauli Arbarei,2023,385,250,135,385,0
Paulilatino,2019,1519,878,641,1519,0
Paulilatino,2021,1524,890,634,1524,0
Paulilatino,2023,1556,910,646,1556,0
Perdasdefogu,2019,1292,819,473,1292,0
