comune,popolazione_residente,anno
Nulvi,2585,2025
Olbia,61681,2025
Olmedo,4222,2025
Oschiri,2917,2025
Osilo,2774,2025
Ossi,5401,2025
Ozieri,9685,2025
Padria,576,2025
Padru,2103,2025
Palau,4084,2025
Pattada,2801,2025
Perfugas,2229,2025
Ploaghe,4222,2025
Porto Torres,20846,2025
Pozzomaggiore,2304,2025
Putifigari,662,2025
Romana,470,2025
Santa Maria Coghinas,1328,2025
Sant'Antonio Di Gallura,1441,2025
Santa Teresa Gallura,5078,2025
San Teodoro,5175,2025
Sassari,120510,2025
Sedini,1205,2025
Semestene,121,2025
Sennori,6730,2025
Siligo,727,2025
Sorso,14474,2025
Stintino,1537,2025
Telti,2248,2025
Tempio Pausania,13036,2025
Tergu,607,2025
Thiesi,2662,2025
Tissi,2347,2025
Torralba,869,2025
Trinità D'Agultu E Vignola,2511,2025
Tula,1435,2025
Uri,2836,2025
Usini,4152,2025
Valledoria,4293,2025
Viddalba,1578,2025
Villanova Monteleone,2058,2025
Aritzo,1211,2025
Arzana,2211,2025
Atzara,967,2025
Austis,723,2025
Bari Sardo,3807,2025
Baunei,3377,2025
Belvì,536,2025
Birori,485,2025
Bitti,2516,2025
Bolotana,2284,2025
Borore,1913,2025
Bortigali,1225,2025
Cardedu,1983,2025
Desulo,2004,2025
Dorgali,8256,2025
Dualchi,554,2025
Elini,546,2025
Fonni,3579,2025
Gadoni,638,2025
Gairo,1269,2025
Galtellì,2374,2025
Gavoi,2432,2025
Girasole,1365,2025
Ilbono,1974,2025
Irgoli,2189,2025
Jerzu,2943,2025
Lanusei,4968,2025
Lei,445,2025
Loceri,1317,2025
Loculi,492,2025
Lodè,1473,2025
Lodine,295,2025
Lotzorai,2131,2025
Lula,1215,2025
Macomer,9069,2025
Mamoiada,2367,2025
Meana Sardo,1549,2025
Noragugume,266,2025
Nuoro,33054,2025
Oliena,6475,2025
Ollolai,1143,2025
Olzai,755,2025
Onanì,353,2025
Onifai,705,2025
Oniferi,834,2025
Orani,2619,2025
Orgosolo,3849,2025
Orosei,6847,2025
Orotelli,1821,2025
Ortueri,978,2025
Orune,2064,2025
Osidda,214,2025
Osini,690,2025
Ottana,2167,2025
Ovodda,1453,2025
Perdasdefogu,1710,2025
Posada,3052,2025
Sarule,1461,2025
Silanus,1921,2025
Sindia,1583,2025
Siniscola,11146,2025
Sorgono,1443,2025
Talana,936,2025
Tertenia,3840,2025
Teti,568,2025
Tiana,426,2025
Tonara,1768,2025
Torpè,2741,2025
Tortolì,10978,2025
Triei,1059,2025
Ulassai,1363,2025
Urzulei,1043,2025
Ussassai,439,2025
Villagrande Strisaili,2885,2025
Assemini,25630,2025
Cagliari,146692,2025
Capoterra,23092,2025
Decimomannu,8358,2025
Elmas,9491,2025
Maracalagonis,7897,2025
Monserrato,18719,2025
Pula,7112,2025
Quartucciu,12828,2025
Quartu Sant'Elena,68237,2025
Sarroch,4983,2025
Selargius,28377,2025
Sestu,20751,2025
Settimo San Pietro,6971,2025
Sinnai,17360,2025
Uta,8933,2025
Villa San Pietro,2101,2025
Abbasanta,2574,2025
Aidomaggiore,379,2025
Albagiara,227,2025
Ales,1249,2025
Allai,338,2025
Arborea,3708,2025
Ardauli,747,2025
Assolo,326,2025
Asuni,296,2025
Baradili,76,2025
Baratili San Pietro,1197,2025
Baressa,535,2025
Bauladu,616,2025
Bidonì,117,2025
Bonarcado,1534,2025
Boroneddu,143,2025
Bosa,7346,2025
Busachi,1112,2025
Cabras,8787,2025
Cuglieri,2439,2025
Curcuris,299,2025
Flussio,395,2025
Fordongianus,812,2025
Ghilarza,4064,2025
Gonnoscodina,425,2025
Gonnosnò,679,2025
Gonnostramatza,783,2025
Laconi,1614,2025
Magomadas,603,2025
Marrubiu,4520,2025
Masullas,992,2025
Milis,1404,2025
Modolo,170,2025
Mogorella,393,2025
Mogoro,3818,2025
Montresta,435,2025
Morgongiori,621,2025
Narbolia,1624,2025
Neoneli,591,2025
Norbello,1127,2025
Nughedu Santa Vittoria,428,2025
Nurachi,1664,2025
Nureci,301,2025
Ollastra,1088,2025
Oristano,30067,2025
Palmas Arborea,1480,2025
Pau,266,2025
Paulilatino,2086,2025
Pompu,215,2025
Riola Sardo,1997,2025
Ruinas,577,2025
Sagama,191,2025
Samugheo,2687,2025
San Nicolò D'Arcidano,2423,2025
Santa Giusta,4602,2025
Santu Lussurgiu,2179,2025
San Vero Milis,2394,2025
Scano Di Montiferro,1367,2025
Sedilo,1930,2025
Seneghe,1587,2025
Senis,376,2025
Sennariolo,154,2025
Siamaggiore,861,2025
Siamanna,751,2025
Siapiccia,337,2025
Simala,290,2025
Simaxis,2136,2025
Sini,469,2025
Siris,228,2025
Soddì,119,2025
Solarussa,2215,2025
Sorradile,331,2025
Suni,985,2025
Tadasuni,127,2025
Terralba,9635,2025
Tinnura,246,2025
Tramatza,897,2025
Tresnuraghes,1024,2025
Ulà Tirso,445,2025
Uras,2633,2025
Usellus,682,2025
Villanova Truschedu,292,2025
Villa Sant'Antonio,318,2025
Villaurbana,1447,2025
Villa Verde,258,2025
Zeddiani,1120,2025
Zerfaliu,985,2025
Arbus,5602,2025
Armungia,399,2025
Ballao,716,2025
Barrali,1086,2025
Barumini,1117,2025
Buggerru,1014,2025
Burcei,2590,2025
Calasetta,2790,2025
Carbonia,25623,2025
Carloforte,5887,2025
Castiadas,1724,2025
Collinas,756,2025
Decimoputzu,4188,2025
Dolianova,9367,2025
Domus De Maria,1639,2025
Domusnovas,5745,2025
Donori,1912,2025
Escalaplano,2039,2025
Escolca,543,2025
Esterzili,559,2025
Fluminimaggiore,2608,2025
Furtei,1487,2025
Genoni,730,2025
Genuri,298,2025
Gergei,1097,2025
Gesico,714,2025
Gesturi,1136,2025
Giba,1895,2025
Goni,435,2025
Gonnesa,4515,2025
Gonnosfanadiga,6039,2025
Guamaggiore,882,2025
Guasila,2435,2025
Guspini,10709,2025
Iglesias,24653,2025
Isili,2428,2025
Las Plassas,210,2025
Lunamatrona,1588,2025
Mandas,1954,2025
Masainas,1189,2025
Monastir,4800,2025
Muravera,5056,2025
Musei,1509,2025
Narcao,3002,2025
Nuragus,810,2025
Nurallao,1106,2025
Nuraminis,2342,2025
Nurri,2021,2025
Nuxis,1401,2025
Orroli,1934,2025
Ortacesus,866,2025
Pabillonis,2433,2025
Pauli Arbarei,538,2025
Perdaxius,1297,2025
Pimentel,1087,2025
Piscinas,759,2025
Portoscuso,4751,2025
Sadali,776,2025
Samassi,4715,2025
Samatzai,1509,2025
San Basilio,1087,2025
San Gavino Monreale,7923,2025
San Giovanni Suergiu,5581,2025
Sanluri,8044,2025
San Nicolò Gerrei,721,2025
San Sperate,8558,2025
Santadi,3054,2025
Sant'Andrea Frius,1662,2025
Sant'Anna Arresi,2631,2025
Sant'Antioco,10490,2025
San Vito,3420,2025
Sardara,3744,2025
Segariu,1083,2025
Selegas,1274,2025
Senorbì,4818,2025
Serdiana,2642,2025
Serramanna,8487,2025
Serrenti,4470,2025
Serri,599,2025
Setzu,129,2025
Seui,1150,2025
Seulo,765,2025
Siddi,548,2025
Siliqua,3489,2025
Silius,1009,2025
Siurgus Donigala,1822,2025
Soleminis,1881,2025
Suelli,1054,2025
Teulada,3194,2025
Tratalias,982,2025
Tuili,903,2025
Turri,372,2025
Ussana,3980,2025
Ussaramanna,466,2025
Vallermosa,1782,2025
Villacidro,12997,2025
Villamar,2408,2025
Villamassargia,3298,2025
Villanovaforru,695,2025
Villanovafranca,1148,2025
Villanova Tulo,1003,2025
Villaperuccio,1015,2025
Villaputzu,4368,2025
Villasalto,903,2025
Villasimius,3735,2025
Villasor,6534,2025
Villaspeciosa,2628,2025
