"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Romania","15","78"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Bulgaria","2","6"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Russia","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Slovenia",,"4"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Altri Paesi Africa Mediterranea","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Altri Paesi Centro - Sud America","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Cipro","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Altri Paesi Asia Occidentale","1","7"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Piemonte","11","29"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Lombardia","70","125"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Veneto","20","42"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Friuli-Venezia Giulia","7","14"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Liguria","6","10"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Emilia Romagna","21","32"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Toscana","9","63"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Umbria","4","8"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Marche","4","11"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Lazio","60","253"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Abruzzo","17","51"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Molise","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Campania","13","53"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Puglia","18","175"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Basilicata","2","3"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Calabria","3","5"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Sicilia","11","62"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Sardegna","287","519"
"2022","Città metropolitana Cagliari","ASSEMINI","12","Non disponibile","Bolzano","1","4"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Francia","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Paesi Bassi","4","57"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Germania","9","70"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Regno Unito","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Grecia","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Spagna","5","16"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Svezia","2","5"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Svizzera (incluso Liechtenstein)","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Austria","8","26"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Polonia",,"28"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Romania","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Croazia","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","India","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Piemonte","15","52"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Lombardia","85","207"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Veneto","11","20"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Friuli-Venezia Giulia","5","11"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Liguria","6","7"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Emilia Romagna","28","148"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Toscana","29","103"
